OBJECTID,SA3,SA2,Scenario,FY21,FY22,FY23,FY24,FY25,FY26,FY27,FY28,FY29,FY30,SA2_CODE21,SA2_NAME21,CHG_FLAG21,CHG_LBL21,SA3_CODE21,SA3_NAME21,SA4_CODE21,SA4_NAME21,GCC_CODE21,GCC_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,Shape__Area,Shape__Length
17,Belconnen,Latham,Conservative,0,0,0,0,0,0,0,0,0,0,801011017,Latham,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.7312,http://linked.data.gov.au/dataset/asgsed3/SA2/801011017,2731509.84082031,7161.76496803106
18,Belconnen,Lawson,Conservative,0,0,0,0,0,0,1,1,1,1,801011018,Lawson,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,3.0845,http://linked.data.gov.au/dataset/asgsed3/SA2/801011018,3084761.19433594,6940.72276511932
19,Belconnen,Macgregor (ACT),Conservative,0,0,0,0,0,0,0,0,0,1,801011019,Macgregor (ACT),0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,4.2749,http://linked.data.gov.au/dataset/asgsed3/SA2/801011019,4275383.17822266,8885.43741274181
20,Belconnen,Macquarie,Conservative,0,0,0,0,0,1,1,1,2,3,801011020,Macquarie,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.7004,http://linked.data.gov.au/dataset/asgsed3/SA2/801011020,1700702.36108398,5808.75791551648
21,Belconnen,McKellar,Conservative,0,0,0,0,0,0,0,0,0,0,801011021,McKellar,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.414,http://linked.data.gov.au/dataset/asgsed3/SA2/801011021,1413720.16943359,5355.13697181237
22,Belconnen,Melba,Conservative,0,0,0,0,0,0,0,0,0,0,801011022,Melba,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.3073,http://linked.data.gov.au/dataset/asgsed3/SA2/801011022,2307463.08056641,7269.26693913642
23,Belconnen,Page,Conservative,0,0,0,0,0,0,0,0,1,1,801011023,Page,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.3225,http://linked.data.gov.au/dataset/asgsed3/SA2/801011023,1322659.05322266,4610.27404179806
24,Belconnen,Scullin,Conservative,0,0,0,0,0,0,0,0,0,0,801011024,Scullin,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.426,http://linked.data.gov.au/dataset/asgsed3/SA2/801011024,1426235.0078125,5046.2571531802
25,Belconnen,Spence,Conservative,0,0,0,0,0,0,0,0,0,0,801011025,Spence,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.5224,http://linked.data.gov.au/dataset/asgsed3/SA2/801011025,1522453.60253906,6044.27434918873
26,Belconnen,Weetangera,Conservative,0,0,0,0,0,0,0,0,0,1,801011026,Weetangera,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.5832,http://linked.data.gov.au/dataset/asgsed3/SA2/801011026,1583533.0300293,4996.24144482294
27,Belconnen,Molonglo Corridor,Conservative,0,0,0,0,0,0,0,0,0,0,801011111,Molonglo Corridor,0,No change,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,24.9139,http://linked.data.gov.au/dataset/asgsed3/SA2/801011111,24914773.6098633,34114.9554866639
28,Belconnen,West Belconnen,Conservative,0,0,0,0,0,0,0,0,0,0,801011144,West Belconnen,1,New,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,3.0161,http://linked.data.gov.au/dataset/asgsed3/SA2/801011144,3016131.43896484,9342.70287220905
29,Canberra East,Hume,Conservative,0,0,0,0,1,1,1,2,3,4,801031031,Hume,0,No change,80103,Canberra East,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,8.5646,http://linked.data.gov.au/dataset/asgsed3/SA2/801031031,8565708.63769531,15189.0967554213
30,Canberra East,Kowen,Conservative,0,0,0,0,0,0,0,0,0,0,801031032,Kowen,0,No change,80103,Canberra East,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,76.9339,http://linked.data.gov.au/dataset/asgsed3/SA2/801031032,76956271.1025391,49946.2968671378
31,Canberra East,Canberra East,Conservative,0,0,0,0,0,0,0,1,1,1,801031113,Canberra East,0,No change,80103,Canberra East,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,31.069,http://linked.data.gov.au/dataset/asgsed3/SA2/801031113,31073495.1147461,34069.0408267821
32,Canberra East,Canberra Airport,Conservative,0,1,1,2,3,4,6,8,10,14,801031114,Canberra Airport,0,No change,80103,Canberra East,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,5.5374,http://linked.data.gov.au/dataset/asgsed3/SA2/801031114,5538361.32788086,13482.0666452965
33,Canberra East,Majura,Conservative,0,0,0,0,0,0,0,0,0,0,801031115,Majura,0,No change,80103,Canberra East,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,89.6908,http://linked.data.gov.au/dataset/asgsed3/SA2/801031115,89708341.4384766,63776.519875083
34,Gungahlin,Amaroo,Conservative,0,0,0,0,0,0,1,1,1,2,801041034,Amaroo,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.5872,http://linked.data.gov.au/dataset/asgsed3/SA2/801041034,2587864.984375,6979.491356987
35,Gungahlin,Bonner,Conservative,0,0,0,0,0,0,0,0,0,1,801041035,Bonner,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.7559,http://linked.data.gov.au/dataset/asgsed3/SA2/801041035,2756189.42724609,7187.12164453587
36,Gungahlin,Casey,Conservative,0,0,0,0,0,1,1,1,2,2,801041036,Casey,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.6225,http://linked.data.gov.au/dataset/asgsed3/SA2/801041036,2622301.42016602,7637.09967814686
37,Gungahlin,Crace,Conservative,0,0,0,0,0,0,0,0,1,1,801041037,Crace,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.6518,http://linked.data.gov.au/dataset/asgsed3/SA2/801041037,1651903.04589844,5848.22946982666
38,Gungahlin,Forde,Conservative,0,0,0,0,0,0,1,1,1,1,801041038,Forde,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.9171,http://linked.data.gov.au/dataset/asgsed3/SA2/801041038,1917405.43652344,8079.78476179169
39,Gungahlin,Franklin,Conservative,0,0,0,1,1,2,3,4,5,7,801041039,Franklin,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.2966,http://linked.data.gov.au/dataset/asgsed3/SA2/801041039,2296958.07519531,7333.12904986542
40,Gungahlin,Gungahlin,Conservative,0,0,1,1,2,2,3,5,7,10,801041040,Gungahlin,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,4.5642,http://linked.data.gov.au/dataset/asgsed3/SA2/801041040,4564572.90673828,10814.4199280144
41,Gungahlin,Hall,Conservative,0,0,0,0,0,0,0,0,0,0,801041043,Hall,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.8718,http://linked.data.gov.au/dataset/asgsed3/SA2/801041043,2871901.34912109,8910.85586980241
42,Gungahlin,Harrison,Conservative,0,0,0,1,1,2,2,3,4,5,801041044,Harrison,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.9168,http://linked.data.gov.au/dataset/asgsed3/SA2/801041044,2917199.6328125,7288.77631899567
43,Gungahlin,Mitchell,Conservative,0,0,0,0,0,0,0,0,0,0,801041045,Mitchell,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,7.3847,http://linked.data.gov.au/dataset/asgsed3/SA2/801041045,7385622.33935547,12249.1731689156
44,Gungahlin,Ngunnawal,Conservative,0,0,0,0,0,0,1,1,1,2,801041046,Ngunnawal,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,4.1591,http://linked.data.gov.au/dataset/asgsed3/SA2/801041046,4159819.68920898,9177.09929391119
45,Gungahlin,Nicholls,Conservative,0,0,0,0,0,0,1,1,1,1,801041047,Nicholls,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,6.7016,http://linked.data.gov.au/dataset/asgsed3/SA2/801041047,6702569.24389648,10418.889344736
46,Gungahlin,Palmerston,Conservative,0,0,0,0,0,0,1,1,1,1,801041048,Palmerston,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.9481,http://linked.data.gov.au/dataset/asgsed3/SA2/801041048,1948211.49707031,5454.27396813158
47,Gungahlin,Gungahlin - East,Conservative,0,0,0,0,0,0,0,0,0,0,801041116,Gungahlin - East,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,17.2009,http://linked.data.gov.au/dataset/asgsed3/SA2/801041116,17203775.3759766,23786.9798729718
48,Gungahlin,Gungahlin - West,Conservative,0,0,0,0,0,0,0,0,0,0,801041117,Gungahlin - West,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,13.7405,http://linked.data.gov.au/dataset/asgsed3/SA2/801041117,13741858.9448242,34220.2769364973
49,Gungahlin,Jacka,Conservative,0,0,0,0,0,0,0,1,1,1,801041118,Jacka,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.9098,http://linked.data.gov.au/dataset/asgsed3/SA2/801041118,2910111.34814453,8401.61223644675
50,Gungahlin,Kenny,Conservative,0,0,0,0,0,0,0,0,0,0,801041119,Kenny,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,6.1708,http://linked.data.gov.au/dataset/asgsed3/SA2/801041119,6171762.19897461,11706.611793697
51,Gungahlin,Moncrieff,Conservative,0,0,0,0,0,0,0,0,1,1,801041120,Moncrieff,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.9172,http://linked.data.gov.au/dataset/asgsed3/SA2/801041120,1917464.90087891,5801.01450210304
52,Gungahlin,Taylor,Conservative,0,0,0,0,0,0,1,1,1,2,801041121,Taylor,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,4.0821,http://linked.data.gov.au/dataset/asgsed3/SA2/801041121,4082493.86010742,8789.53245695831
53,Gungahlin,Throsby,Conservative,0,0,0,0,0,0,0,0,0,0,801041122,Throsby,0,No change,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.4792,http://linked.data.gov.au/dataset/asgsed3/SA2/801041122,1479772.01513672,6767.64405903954
54,North Canberra,Acton,Conservative,0,0,1,1,2,3,4,6,10,14,801051049,Acton,0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.7374,http://linked.data.gov.au/dataset/asgsed3/SA2/801051049,2737672.77807617,14901.4489237054
55,North Canberra,Ainslie,Conservative,0,0,0,0,0,0,1,1,1,1,801051050,Ainslie,0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,3.5405,http://linked.data.gov.au/dataset/asgsed3/SA2/801051050,3541325.47631836,7787.83105271874
56,North Canberra,Braddon,Conservative,1,1,2,4,6,9,14,20,28,38,801051051,Braddon,0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.4078,http://linked.data.gov.au/dataset/asgsed3/SA2/801051051,1408075.20458984,5409.38009669189
57,North Canberra,Civic,Conservative,4,8,14,23,35,54,78,112,155,209,801051053,Civic,0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.4309,http://linked.data.gov.au/dataset/asgsed3/SA2/801051053,1431427.734375,4954.88601109882
58,North Canberra,Dickson,Conservative,0,0,1,1,1,2,3,5,6,8,801051054,Dickson,0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.578,http://linked.data.gov.au/dataset/asgsed3/SA2/801051054,1578125.55932617,6154.79120171928
59,North Canberra,Downer,Conservative,0,0,0,0,0,1,1,1,2,2,801051055,Downer,0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.6342,http://linked.data.gov.au/dataset/asgsed3/SA2/801051055,1634191.13012695,5083.91719472412
60,North Canberra,Hackett,Conservative,0,0,0,0,0,0,0,1,1,1,801051056,Hackett,0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.9498,http://linked.data.gov.au/dataset/asgsed3/SA2/801051056,1950073.74169922,6148.01843999726
61,North Canberra,Lyneham,Conservative,0,1,1,1,2,3,4,5,8,10,801051057,Lyneham,0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,5.4776,http://linked.data.gov.au/dataset/asgsed3/SA2/801051057,5478278.6003418,11390.2292201808
62,North Canberra,O'Connor (ACT),Conservative,0,0,0,0,0,0,0,0,0,0,801051058,O'Connor (ACT),0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,4.9286,http://linked.data.gov.au/dataset/asgsed3/SA2/801051058,4929436.24853516,10487.5552077768
63,North Canberra,Turner,Conservative,0,1,1,2,3,4,6,8,10,14,801051060,Turner,0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.5376,http://linked.data.gov.au/dataset/asgsed3/SA2/801051060,1537606.55273438,5512.30231783285
64,North Canberra,Watson,Conservative,0,0,1,1,1,2,3,3,4,6,801051061,Watson,0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,3.6744,http://linked.data.gov.au/dataset/asgsed3/SA2/801051061,3674718.09204102,9135.7486101754
65,North Canberra,Black Mountain,Conservative,0,0,0,0,0,0,0,0,0,0,801051123,Black Mountain,0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,6.7267,http://linked.data.gov.au/dataset/asgsed3/SA2/801051123,6727374.63208008,16721.2473739477
66,North Canberra,Campbell,Conservative,0,1,1,1,2,3,4,6,7,9,801051124,Campbell,0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,3.1593,http://linked.data.gov.au/dataset/asgsed3/SA2/801051124,3159679.10302734,8125.8298854339
67,North Canberra,Duntroon,Conservative,0,0,0,0,0,0,0,0,0,0,801051125,Duntroon,0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.4118,http://linked.data.gov.au/dataset/asgsed3/SA2/801051125,2412001.03173828,7493.36375284192
68,North Canberra,Parkes (ACT) - North,Conservative,0,0,0,0,0,0,0,0,0,0,801051126,Parkes (ACT) - North,0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.0976,http://linked.data.gov.au/dataset/asgsed3/SA2/801051126,1097728.63916016,9175.45270368083
69,North Canberra,Reid,Conservative,0,0,0,1,1,1,2,2,3,4,801051127,Reid,0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,0.9367,http://linked.data.gov.au/dataset/asgsed3/SA2/801051127,936884.984863281,4022.18535654414
70,North Canberra,Russell,Conservative,0,0,0,0,0,0,0,0,0,0,801051128,Russell,0,No change,80105,North Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,0.4939,http://linked.data.gov.au/dataset/asgsed3/SA2/801051128,493989.647216797,2990.12437248999
71,South Canberra,Deakin,Conservative,0,0,0,0,1,1,1,2,2,2,801061062,Deakin,0,No change,80106,South Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,3.5714,http://linked.data.gov.au/dataset/asgsed3/SA2/801061062,3571584.23071289,8432.30352287342
72,South Canberra,Forrest,Conservative,0,0,1,1,1,2,2,3,4,5,801061063,Forrest,0,No change,80106,South Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.5901,http://linked.data.gov.au/dataset/asgsed3/SA2/801061063,1590418.12475586,5276.94176204709
73,South Canberra,Griffith (ACT),Conservative,0,1,1,1,2,3,4,6,8,10,801061064,Griffith (ACT),0,No change,80106,South Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.7559,http://linked.data.gov.au/dataset/asgsed3/SA2/801061064,2756216.84570313,8211.87478933514
74,South Canberra,Lake Burley Griffin,Conservative,0,0,0,0,0,0,0,0,0,0,801061066,Lake Burley Griffin,0,No change,80106,South Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,6.1594,http://linked.data.gov.au/dataset/asgsed3/SA2/801061066,6160096.86523438,33409.1293727034
75,South Canberra,Narrabundah,Conservative,0,0,0,0,1,1,1,1,2,2,801061067,Narrabundah,0,No change,80106,South Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,4.0907,http://linked.data.gov.au/dataset/asgsed3/SA2/801061067,4091112.81713867,8306.71478150202
76,South Canberra,Parkes (ACT) - South,Conservative,0,0,0,0,0,0,0,0,0,0,801061068,Parkes (ACT) - South,0,No change,80106,South Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.8118,http://linked.data.gov.au/dataset/asgsed3/SA2/801061068,1812132.68676758,6230.84147257169
77,South Canberra,Red Hill (ACT),Conservative,0,0,0,0,0,0,0,1,1,1,801061069,Red Hill (ACT),0,No change,80106,South Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,4.8606,http://linked.data.gov.au/dataset/asgsed3/SA2/801061069,4861385.40844727,12497.7827290803
78,South Canberra,Yarralumla,Conservative,0,0,0,0,0,0,1,1,1,1,801061070,Yarralumla,0,No change,80106,South Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,7.2105,http://linked.data.gov.au/dataset/asgsed3/SA2/801061070,7210598.73022461,19946.3983936853
79,South Canberra,Barton,Conservative,1,1,2,3,5,7,10,14,18,24,801061129,Barton,0,No change,80106,South Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.1901,http://linked.data.gov.au/dataset/asgsed3/SA2/801061129,1190160.24291992,4656.45181811856
80,South Canberra,Fyshwick,Conservative,0,0,0,0,0,0,0,0,0,0,801061130,Fyshwick,0,No change,80106,South Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,9.7669,http://linked.data.gov.au/dataset/asgsed3/SA2/801061130,9768593.17895508,14863.7883776917
81,South Canberra,Kingston (ACT),Conservative,0,1,1,2,4,6,9,12,18,24,801061131,Kingston (ACT),0,No change,80106,South Canberra,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,1.4039,http://linked.data.gov.au/dataset/asgsed3/SA2/801061131,1403779.46948242,5008.3609853144
82,Tuggeranong,Banks,Conservative,0,0,0,0,0,0,0,0,1,1,801071071,Banks,0,No change,80107,Tuggeranong,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.2533,http://linked.data.gov.au/dataset/asgsed3/SA2/801071071,2253523.66210938,6062.97237041021
83,Tuggeranong,Bonython,Conservative,0,0,0,0,0,0,0,1,1,1,801071072,Bonython,0,No change,80107,Tuggeranong,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,AUS,Australia,2.9045,http://linked.data.gov.au/dataset/asgsed3/SA2/801071072,2904343.10229492,7898.75257118813
